# Residuals         
# Time              	p                   	Ux                  	Uy                  	Uz                  
2470                	9.176670460670e-05	1.675680349950e-04	1.441050584520e-04	1.564537175700e-04
2471                	8.863543617400e-05	1.675405273040e-04	1.443865781850e-04	1.594660560690e-04
2472                	9.176668987470e-05	1.674770185220e-04	1.441051272160e-04	1.564539016800e-04
2473                	8.863763813110e-05	1.674495495170e-04	1.443866756680e-04	1.594644803110e-04
2474                	9.176666330270e-05	1.673861023390e-04	1.441052150450e-04	1.564540897990e-04
2475                	8.863991018080e-05	1.673586732470e-04	1.443867780060e-04	1.594628858960e-04
2476                	9.176666155640e-05	1.672952882730e-04	1.441052771530e-04	1.564542416880e-04
2477                	8.864218131110e-05	1.672678985800e-04	1.443868401270e-04	1.594612598330e-04
2478                	9.176664164660e-05	1.672045752880e-04	1.441053240210e-04	1.564543730950e-04
2479                	8.864427914830e-05	1.671772269750e-04	1.443868588160e-04	1.594596539270e-04
2480                	9.176652598040e-05	1.671139644300e-04	1.441053900280e-04	1.564545117660e-04
2481                	8.864632240800e-05	1.670866541560e-04	1.443869780580e-04	1.594580643970e-04
2482                	9.176639704410e-05	1.670234513490e-04	1.441055013660e-04	1.564546689480e-04
2483                	8.864827840230e-05	1.669961823520e-04	1.443871227400e-04	1.594564915640e-04
2484                	9.176620956100e-05	1.669330394340e-04	1.441056317500e-04	1.564548396080e-04
2485                	8.865029544990e-05	1.669058092240e-04	1.443872703470e-04	1.594549204620e-04
2486                	9.176613954410e-05	1.668427266320e-04	1.441057885870e-04	1.564550265070e-04
2487                	8.865237800140e-05	1.668155353590e-04	1.443875395100e-04	1.594533294660e-04
2488                	9.176612355840e-05	1.667525142340e-04	1.441059258340e-04	1.564552063480e-04
2489                	8.865452832130e-05	1.667253641220e-04	1.443877878930e-04	1.594517088990e-04
2490                	9.176610976750e-05	1.666624045810e-04	1.441060423790e-04	1.564553560080e-04
2491                	8.865667268570e-05	1.666352934750e-04	1.443880106700e-04	1.594500569640e-04
2492                	9.176610592070e-05	1.665723944570e-04	1.441061309540e-04	1.564554886970e-04
2493                	8.865883232170e-05	1.665453227470e-04	1.443882146880e-04	1.594483872390e-04
2494                	9.176610725740e-05	1.664824825720e-04	1.441062212550e-04	1.564556029410e-04
2495                	8.866098779010e-05	1.664554492080e-04	1.443883865400e-04	1.594466414170e-04
2496                	9.176610307730e-05	1.663926695660e-04	1.441062838490e-04	1.564557410330e-04
2497                	8.866314445320e-05	1.663656760410e-04	1.443886288770e-04	1.594449477570e-04
2498                	9.176610609620e-05	1.663029565090e-04	1.441063691960e-04	1.564559377740e-04
2499                	8.866533408600e-05	1.662760015520e-04	1.443889247650e-04	1.594432523900e-04
2500                	9.176612238620e-05	1.662133428990e-04	1.441064510710e-04	1.564561262230e-04
2501                	8.866753907790e-05	1.661864269300e-04	1.443892015110e-04	1.594415666330e-04
2502                	9.176613994610e-05	1.661238305830e-04	1.441066185780e-04	1.564563335230e-04
2503                	8.866975885190e-05	1.660969523840e-04	1.443894786280e-04	1.594399091700e-04
2504                	9.176615839760e-05	1.660344199070e-04	1.441067808860e-04	1.564565574420e-04
2505                	8.867197325160e-05	1.660075786590e-04	1.443897535910e-04	1.594382599230e-04
2506                	9.176616781280e-05	1.659451105090e-04	1.441069800640e-04	1.564567983420e-04
2507                	8.867418285010e-05	1.659183066530e-04	1.443900063790e-04	1.594366003640e-04
2508                	9.176613728390e-05	1.658559028000e-04	1.441071847470e-04	1.564570360140e-04
2509                	8.867639048270e-05	1.658291360130e-04	1.443902522670e-04	1.594349244200e-04
2510                	9.176604689870e-05	1.657667961300e-04	1.441073903380e-04	1.564572732620e-04
2511                	8.867857319420e-05	1.657400656980e-04	1.443904824100e-04	1.594332282190e-04
2512                	9.176593375830e-05	1.656777879400e-04	1.441075821900e-04	1.564574943540e-04
2513                	8.868074747820e-05	1.656510944020e-04	1.443906869670e-04	1.594315170670e-04
2514                	9.176581577510e-05	1.655888789200e-04	1.441077558060e-04	1.564577126080e-04
2515                	8.868295633870e-05	1.655622222470e-04	1.443908818210e-04	1.594297939730e-04
2516                	9.176574000870e-05	1.655000679980e-04	1.441079129940e-04	1.564579351200e-04
2517                	8.868519254620e-05	1.654734476550e-04	1.443910635620e-04	1.594280619490e-04
2518                	9.176573838400e-05	1.654113556580e-04	1.441080673550e-04	1.564581294630e-04
